"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Andover","0901301080","2005-2009","All","Number","Per Capita Income",38825
"Andover","0901301080","2005-2009","All","Number","Margins of Error",5060
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","Black or African American Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","Black or African American Alone","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","Hispanic or Latino","Number","Per Capita Income",15332
"Andover","0901301080","2005-2009","Hispanic or Latino","Number","Margins of Error",15074
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2005-2009","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2005-2009","White Alone","Number","Per Capita Income",38065
"Andover","0901301080","2005-2009","White Alone","Number","Margins of Error",4843
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",38091
"Andover","0901301080","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",4866
"Andover","0901301080","2006-2010","All","Number","Per Capita Income",38710
"Andover","0901301080","2006-2010","All","Number","Margins of Error",5144
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2006-2010","Asian Alone","Number","Per Capita Income",138771
"Andover","0901301080","2006-2010","Asian Alone","Number","Margins of Error",130897
"Andover","0901301080","2006-2010","Black or African American Alone","Number","Per Capita Income",12049
"Andover","0901301080","2006-2010","Black or African American Alone","Number","Margins of Error",14597
"Andover","0901301080","2006-2010","Hispanic or Latino","Number","Per Capita Income",-9999
"Andover","0901301080","2006-2010","Hispanic or Latino","Number","Margins of Error",-9999
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2006-2010","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2006-2010","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2006-2010","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2006-2010","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2006-2010","White Alone","Number","Per Capita Income",38610
"Andover","0901301080","2006-2010","White Alone","Number","Margins of Error",4916
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",38610
"Andover","0901301080","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",4916
"Andover","0901301080","2007-2011","All","Number","Per Capita Income",40118
"Andover","0901301080","2007-2011","All","Number","Margins of Error",5285
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","Asian Alone","Number","Per Capita Income",77984
"Andover","0901301080","2007-2011","Asian Alone","Number","Margins of Error",95758
"Andover","0901301080","2007-2011","Black or African American Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","Black or African American Alone","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","Hispanic or Latino","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","Hispanic or Latino","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","Some Other Race Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","Some Other Race Alone","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","Two or More Races","Number","Per Capita Income",-9999
"Andover","0901301080","2007-2011","Two or More Races","Number","Margins of Error",-9999
"Andover","0901301080","2007-2011","White Alone","Number","Per Capita Income",39310
"Andover","0901301080","2007-2011","White Alone","Number","Margins of Error",5060
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",39310
"Andover","0901301080","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",5060
"Andover","0901301080","2008-2012","All","Number","Per Capita Income",37086
"Andover","0901301080","2008-2012","All","Number","Margins of Error",3265
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Andover","0901301080","2008-2012","Asian Alone","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","Asian Alone","Number","Margins of Error",-9999
"Andover","0901301080","2008-2012","Black or African American Alone","Number","Per Capita Income",8905
"Andover","0901301080","2008-2012","Black or African American Alone","Number","Margins of Error",8593
"Andover","0901301080","2008-2012","Hispanic or Latino","Number","Per Capita Income",-9999
"Andover","0901301080","2008-2012","Hispanic or Latino","Number","Margins of Error",-9999
